UniProtKB-AC,PROSITE_PROFILE_Ndomains,PROSITE_PROFILE_domains,Gene3D_Ndomains,Gene3D_domains,PANTHER_Ndomains,PANTHER_domains,Pfam_Ndomains,Pfam_domains,SUPERFAMILY_Ndomains,SUPERFAMILY_domains,PROSITE_PATTERN_Ndomains,PROSITE_PATTERN_domains,SMART_Ndomains,SMART_domains,TIGRFAM_Ndomains,TIGRFAM_domains
P53096,10.0,"{'1': '155-178', '2': '187-202', '3': '273-283', '4': '47-64', '5': '80-98', '6': '112-129', '7': '133-153', '8': '174-190', '9': '234-247', '10': '251-269'}",1.0,{'1': '25-401'},,,1.0,{'1': '45-336'},1.0,{'1': '27-387'},,,,,,
P53099,,,,,1.0,{'1': '6-579'},1.0,{'1': '92-435'},,,,,,,1.0,{'1': '71-507'}
P53100,,,,,1.0,{'1': '11-369'},1.0,{'1': '187-343'},1.0,{'1': '138-344'},1.0,{'1': '282-298'},,,,
P53101,,,2.0,"{'1': '4-262', '2': '263-405'}",1.0,{'1': '5-407'},1.0,{'1': '7-404'},1.0,{'1': '18-404'},1.0,{'1': '205-219'},,,1.0,{'1': '6-409'}
P53104,,,,,1.0,{'1': '18-798'},3.0,"{'1': '24-323', '2': '592-763', '3': '784-893'}",1.0,{'1': '14-366'},3.0,"{'1': '24-325', '2': '168-180', '3': '30-54'}",1.0,{'1': '24-325'},,
P53108,,,,,1.0,{'1': '65-310'},1.0,{'1': '115-301'},,,,,,,,
P53109,,,1.0,{'1': '362-568'},1.0,{'1': '74-563'},3.0,"{'1': '254-364', '2': '372-557', '3': '101-219'}",,,,,,,,
P53111,,,,,1.0,{'1': '6-328'},1.0,{'1': '7-261'},1.0,{'1': '3-341'},,,,,,
P53112,,,1.0,{'1': '2-58'},1.0,{'1': '7-325'},1.0,{'1': '8-53'},,,,,,,,
P53114,,,,,1.0,{'1': '1-1116'},1.0,{'1': '1-1127'},,,,,,,,
P53115,,,3.0,"{'1': '951-1064', '2': '1273-1487', '3': '673-950'}",1.0,{'1': '640-1467'},3.0,"{'1': '709-1016', '2': '1300-1412', '3': '470-601'}",2.0,"{'1': '669-935', '2': '937-1456'}",3.0,"{'1': '1303-1467', '2': '718-890', '3': '476-601'}",2.0,"{'1': '1329-1412', '2': '702-901'}",,
P53119,,,,,1.0,{'1': '92-910'},1.0,{'1': '608-910'},1.0,{'1': '553-904'},1.0,{'1': '578-910'},1.0,{'1': '572-910'},,
P53120,5.0,"{'1': '30-52', '2': '65-84', '3': '686-700', '4': '735-749', '5': '933-949'}",,,1.0,{'1': '18-1055'},2.0,"{'1': '10-437', '2': '655-780'}",,,,,,,,
P53121,,,,,1.0,{'1': '11-775'},2.0,"{'1': '172-603', '2': '32-167'}",,,,,1.0,{'1': '30-168'},,
P53124,,,,,1.0,{'1': '286-419'},1.0,{'1': '293-406'},,,,,,,,
P53125,,,,,,,3.0,"{'1': '24-124', '2': '424-476', '3': '869-1044'}",,,2.0,"{'1': '23-130', '2': '423-483'}",1.0,{'1': '423-483'},,
P53127,,,3.0,"{'1': '306-388', '2': '1026-1100', '3': '104-261'}",1.0,{'1': '475-1400'},3.0,"{'1': '123-257', '2': '320-366', '3': '1041-1094'}",3.0,"{'1': '559-606', '2': '311-373', '3': '1037-1101'}",4.0,"{'1': '121-258', '2': '555-606', '3': '1038-1097', '4': '1105-1231'}",5.0,"{'1': '556-604', '2': '121-259', '3': '319-367', '4': '1040-1095', '5': '1178-1249'}",,
P53128,,,,,,,2.0,"{'1': '7-297', '2': '313-587'}",1.0,{'1': '11-300'},,,,,1.0,{'1': '18-302'}
P53129,13.0,"{'1': '182-199', '2': '200-220', '3': '237-251', '4': '260-288', '5': '289-301', '6': '321-342', '7': '352-365', '8': '377-393', '9': '404-427', '10': '438-464', '11': '594-608', '12': '611-624', '13': '624-644'}",,,1.0,{'1': '36-643'},3.0,"{'1': '487-633', '2': '356-459', '3': '182-307'}",,,,,,,,
P53131,,,2.0,"{'1': '39-270', '2': '271-453'}",,,4.0,"{'1': '292-431', '2': '100-254', '3': '648-725', '4': '494-522'}",1.0,{'1': '73-631'},3.0,"{'1': '293-473', '2': '210-219', '3': '103-268'}",3.0,"{'1': '314-432', '2': '493-583', '3': '90-277'}",,
P53135,,,,,1.0,{'1': '29-653'},2.0,"{'1': '156-646', '2': '6-121'}",,,,,,,,
P53136,,,,,1.0,{'1': '5-462'},,,1.0,{'1': '151-404'},,,,,,
P53137,,,,,1.0,{'1': '314-615'},1.0,{'1': '317-357'},,,1.0,{'1': '316-359'},1.0,{'1': '316-358'},,
P53139,,,,,,,1.0,{'1': '65-127'},,,,,,,,
P53141,,,,,1.0,{'1': '7-145'},1.0,{'1': '87-144'},1.0,{'1': '8-146'},1.0,{'1': '81-116'},3.0,"{'1': '6-34', '2': '85-113', '3': '121-149'}",,
P53145,,,1.0,{'1': '187-395'},1.0,{'1': '24-626'},1.0,{'1': '339-392'},1.0,{'1': '186-421'},1.0,{'1': '188-394'},,,,
P53146,,,,,1.0,{'1': '56-242'},1.0,{'1': '51-232'},,,,,,,,
P53148,,,,,1.0,{'1': '395-915'},2.0,"{'1': '452-638', '2': '681-798'}",,,,,1.0,{'1': '439-756'},,
P53150,,,1.0,{'1': '156-246'},,,,,,,,,,,,
P53152,,,1.0,{'1': '1-137'},,,1.0,{'1': '33-127'},1.0,{'1': '3-137'},1.0,{'1': '5-137'},,,,
P53155,,,,,1.0,{'1': '3-352'},1.0,{'1': '4-262'},,,,,,,,
P53158,,,,,1.0,{'1': '10-210'},1.0,{'1': '115-200'},,,,,,,,
P53159,,,,,,,1.0,{'1': '10-386'},,,,,,,,
P53163,,,2.0,"{'1': '124-193', '2': '53-123'}",1.0,{'1': '33-194'},2.0,"{'1': '53-101', '2': '127-194'}",2.0,"{'1': '127-194', '2': '53-99'}",,,,,,
P53165,,,,,1.0,{'1': '21-545'},2.0,"{'1': '214-279', '2': '59-99'}",,,1.0,{'1': '220-286'},,,,
P53166,,,2.0,"{'1': '46-339', '2': '363-561'}",,,2.0,"{'1': '483-529', '2': '138-326'}",1.0,{'1': '203-548'},2.0,"{'1': '370-561', '2': '151-339'}",2.0,"{'1': '402-530', '2': '133-356'}",,
P53168,,,,,1.0,{'1': '3-247'},1.0,{'1': '63-135'},,,,,,,,
P53169,,,,,1.0,{'1': '2-639'},1.0,{'1': '1-633'},,,,,,,,
P53170,,,2.0,"{'1': '59-237', '2': '246-490'}",1.0,{'1': '61-487'},1.0,{'1': '79-236'},2.0,"{'1': '60-226', '2': '268-476'}",,,,,,
P53172,,,2.0,"{'1': '67-248', '2': '251-392'}",1.0,{'1': '73-504'},1.0,{'1': '275-320'},2.0,"{'1': '90-241', '2': '275-510'}",2.0,"{'1': '185-243', '2': '272-330'}",2.0,"{'1': '190-238', '2': '276-324'}",,
P53173,,,,,,,1.0,{'1': '3-124'},,,1.0,{'1': '25-39'},1.0,{'1': '3-124'},,
P53183,,,,,1.0,{'1': '7-315'},1.0,{'1': '8-262'},1.0,{'1': '3-341'},,,,,,
P53184,,,1.0,{'1': '1-216'},1.0,{'1': '2-215'},1.0,{'1': '3-187'},1.0,{'1': '2-213'},,,,,,
P53185,,,,,,,1.0,{'1': '17-906'},,,,,,,,
P53188,,,,,,,1.0,{'1': '13-119'},,,,,,,,
P53189,,,,,1.0,{'1': '244-539'},,,1.0,{'1': '283-539'},1.0,{'1': '472-485'},,,,
P53192,,,1.0,{'1': '21-104'},,,1.0,{'1': '7-191'},,,,,,,,
P53196,,,2.0,"{'1': '81-232', '2': '233-416'}",1.0,{'1': '96-414'},2.0,"{'1': '133-164', '2': '171-205'}",1.0,{'1': '105-358'},2.0,"{'1': '132-173', '2': '174-215'}",4.0,"{'1': '124-164', '2': '167-206', '3': '235-272', '4': '275-316'}",,
P53197,,,1.0,{'1': '241-548'},1.0,{'1': '36-549'},1.0,{'1': '255-542'},1.0,{'1': '232-544'},4.0,"{'1': '381-422', '2': '423-467', '3': '511-544', '4': '445-459'}",5.0,"{'1': '292-330', '2': '333-370', '3': '374-413', '4': '416-458', '5': '504-543'}",,
P53198,,,,,1.0,{'1': '11-212'},1.0,{'1': '19-210'},,,1.0,{'1': '29-130'},1.0,{'1': '19-211'},,
P53199,,,,,1.0,{'1': '6-345'},1.0,{'1': '8-280'},1.0,{'1': '7-345'},,,,,,
P53200,,,,,1.0,{'1': '5-245'},1.0,{'1': '61-241'},,,1.0,{'1': '157-163'},,,,
P53201,,,,,1.0,{'1': '1-474'},1.0,{'1': '110-212'},1.0,{'1': '161-207'},,,1.0,{'1': '160-211'},,
P53202,,,1.0,{'1': '655-744'},1.0,{'1': '20-740'},2.0,"{'1': '26-638', '2': '677-736'}",3.0,"{'1': '19-347', '2': '384-648', '3': '664-743'}",2.0,"{'1': '717-744', '2': '383-613'}",2.0,"{'1': '414-563', '2': '671-738'}",,
P53203,,,,,1.0,{'1': '1-441'},1.0,{'1': '51-394'},,,,,2.0,"{'1': '275-341', '2': '366-399'}",,
P53204,,,1.0,{'1': '157-390'},1.0,{'1': '153-384'},1.0,{'1': '163-353'},,,,,,,1.0,{'1': '163-380'}
P53206,,,2.0,"{'1': '53-371', '2': '83-203'}",1.0,{'1': '48-377'},1.0,{'1': '50-365'},1.0,{'1': '34-376'},1.0,{'1': '75-93'},,,,
P53207,,,,,,,2.0,"{'1': '110-220', '2': '4-44'}",,,,,1.0,{'1': '547-620'},,
P53215,,,1.0,{'1': '1-237'},1.0,{'1': '1-219'},2.0,"{'1': '7-138', '2': '141-218'}",,,,,,,,
P53217,,,,,1.0,{'1': '13-268'},,,,,,,,,,
P53218,,,,,,,1.0,{'1': '49-118'},,,,,,,,
P53221,,,1.0,{'1': '1-127'},1.0,{'1': '3-123'},2.0,"{'1': '9-122', '2': '53-83'}",1.0,{'1': '9-124'},1.0,{'1': '53-70'},,,1.0,{'1': '9-123'}
P53227,,,,,,,1.0,{'1': '5-94'},,,,,,,,
P53228,,,1.0,{'1': '1-333'},1.0,{'1': '10-332'},1.0,{'1': '26-327'},,,2.0,"{'1': '141-158', '2': '43-51'}",,,1.0,{'1': '15-333'}
P53230,,,,,1.0,{'1': '107-326'},2.0,"{'1': '114-325', '2': '341-380'}",,,,,,,,
P53233,,,,,,,1.0,{'1': '2-232'},1.0,{'1': '2-283'},2.0,"{'1': '2-369', '2': '129-141'}",1.0,{'1': '2-270'},,
P53235,,,1.0,{'1': '198-446'},1.0,{'1': '1-639'},1.0,{'1': '228-427'},,,,,,,,
P53236,3.0,"{'1': '44-60', '2': '288-306', '3': '306-325'}",3.0,"{'1': '2-111', '2': '237-342', '3': '357-601'}",1.0,{'1': '179-787'},3.0,"{'1': '368-485', '2': '31-98', '3': '256-325'}",2.0,"{'1': '8-109', '2': '218-352'}",4.0,"{'1': '368-486', '2': '27-95', '3': '255-325', '4': '260-317'}",3.0,"{'1': '368-486', '2': '6-114', '3': '234-344'}",,
P53237,,,,,1.0,{'1': '4-237'},1.0,{'1': '70-234'},,,1.0,{'1': '48-242'},,,,
P53241,,,1.0,{'1': '124-549'},,,1.0,{'1': '147-499'},1.0,{'1': '115-556'},,,,,,
P53244,,,1.0,{'1': '19-280'},1.0,{'1': '20-572'},1.0,{'1': '332-475'},,,,,1.0,{'1': '332-475'},,
P53246,,,,,,,1.0,{'1': '88-132'},,,1.0,{'1': '84-138'},,,,
P53250,,,2.0,"{'1': '2-126', '2': '175-304'}",1.0,{'1': '1-331'},2.0,"{'1': '26-107', '2': '186-294'}",,,2.0,"{'1': '5-132', '2': '173-300'}",2.0,"{'1': '11-133', '2': '180-300'}",,
P53251,,,,,,,1.0,{'1': '48-206'},,,,,,,,
P53252,,,1.0,{'1': '51-267'},1.0,{'1': '1-294'},1.0,{'1': '1-264'},,,,,,,,
P53254,,,,,1.0,{'1': '64-1235'},6.0,"{'1': '203-355', '2': '358-514', '3': '521-690', '4': '705-904', '5': '906-1091', '6': '1093-1232'}",,,,,,,,
P53255,,,,,1.0,{'1': '66-503'},2.0,"{'1': '414-501', '2': '257-380'}",1.0,{'1': '267-383'},,,,,,
P53256,,,1.0,{'1': '1-223'},1.0,{'1': '3-211'},2.0,"{'1': '3-125', '2': '131-200'}",2.0,"{'1': '4-125', '2': '127-217'}",,,,,,
P53260,,,,,,,,,,,,,,,,
P53261,,,1.0,{'1': '363-439'},1.0,{'1': '2-598'},2.0,"{'1': '359-447', '2': '5-270'}",1.0,{'1': '358-451'},1.0,{'1': '355-449'},1.0,{'1': '357-439'},,
P53262,,,,,,,1.0,{'1': '218-256'},,,,,,,,
P53265,,,,,1.0,{'1': '1-400'},1.0,{'1': '212-400'},1.0,{'1': '122-217'},,,,,,
P53267,,,,,1.0,{'1': '2-343'},1.0,{'1': '63-118'},,,,,,,,
P53270,,,,,,,,,1.0,{'1': '125-472'},1.0,{'1': '7-39'},1.0,{'1': '7-39'},,
P53271,,,,,,,2.0,"{'1': '41-101', '2': '113-251'}",,,,,,,,
P53272,,,,,,,1.0,{'1': '77-402'},,,,,,,,
P53273,,,2.0,"{'1': '892-1024', '2': '654-785'}",1.0,{'1': '203-1005'},2.0,"{'1': '664-777', '2': '206-605'}",2.0,"{'1': '891-1010', '2': '668-783'}",2.0,"{'1': '936-1002', '2': '668-781'}",,,,
P53275,,,,,1.0,{'1': '1-311'},1.0,{'1': '1-288'},,,,,,,,
P53276,,,,,,,2.0,"{'1': '1-416', '2': '426-713'}",,,,,,,,
P53277,,,,,,,1.0,{'1': '60-209'},,,,,,,,
P53281,4.0,"{'1': '56-66', '2': '70-85', '3': '87-96', '4': '98-110'}",,,1.0,{'1': '48-130'},1.0,{'1': '60-104'},1.0,{'1': '54-111'},1.0,{'1': '53-112'},1.0,{'1': '56-111'},,
P53283,,,1.0,{'1': '167-593'},,,1.0,{'1': '176-558'},1.0,{'1': '158-599'},1.0,{'1': '172-614'},,,,
P53290,,,1.0,{'1': '6-184'},1.0,{'1': '8-332'},1.0,{'1': '12-235'},1.0,{'1': '12-185'},,,,,,
P53292,,,,,1.0,{'1': '5-340'},,,,,,,,,,
P53295,4.0,"{'1': '66-86', '2': '87-105', '3': '114-129', '4': '131-149'}",3.0,"{'1': '292-368', '2': '69-189', '3': '196-290'}",1.0,{'1': '1-367'},3.0,"{'1': '295-366', '2': '65-176', '3': '185-293'}",2.0,"{'1': '288-366', '2': '65-307'}",3.0,"{'1': '292-367', '2': '116-129', '3': '64-292'}",,,1.0,{'1': '63-180'}
P53296,,,,,1.0,{'1': '16-531'},1.0,{'1': '23-529'},,,,,,,,
P53297,,,,,1.0,{'1': '18-697'},2.0,"{'1': '226-297', '2': '50-131'}",,,1.0,{'1': '51-107'},1.0,{'1': '226-298'},,
P53301,,,,,1.0,{'1': '11-258'},1.0,{'1': '69-235'},1.0,{'1': '52-257'},1.0,{'1': '34-260'},,,,
P53303,,,4.0,"{'1': '98-237', '2': '339-480', '3': '42-96', '4': '281-338'}",1.0,{'1': '5-486'},4.0,"{'1': '49-101', '2': '287-342', '3': '114-237', '4': '356-480'}",,,,,2.0,"{'1': '52-211', '2': '293-453'}",2.0,"{'1': '54-212', '2': '294-486'}"
P53305,,,,,1.0,{'1': '2-101'},1.0,{'1': '6-93'},,,,,,,,
P53306,,,,,1.0,{'1': '1-579'},1.0,{'1': '220-517'},,,,,,,,
P53309,,,2.0,"{'1': '1-127', '2': '134-274'}",1.0,{'1': '7-531'},1.0,{'1': '5-265'},1.0,{'1': '5-129'},1.0,{'1': '1-127'},1.0,{'1': '3-127'},,
P53312,,,2.0,"{'1': '51-141', '2': '280-427'}",,,2.0,"{'1': '302-422', '2': '33-239'}",1.0,{'1': '279-425'},1.0,{'1': '297-321'},,,1.0,{'1': '32-425'}
P53313,,,,,1.0,{'1': '6-764'},3.0,"{'1': '575-700', '2': '93-474', '3': '719-765'}",1.0,{'1': '89-460'},,,,,,
P53315,,,,,1.0,{'1': '4-247'},1.0,{'1': '9-240'},1.0,{'1': '3-252'},,,,,1.0,{'1': '7-248'}
P53316,,,3.0,"{'1': '128-282', '2': '283-430', '3': '531-645'}",1.0,{'1': '56-296'},3.0,"{'1': '197-266', '2': '542-577', '3': '595-626'}",3.0,"{'1': '196-307', '2': '289-422', '3': '527-649'}",3.0,"{'1': '195-273', '2': '295-418', '3': '540-638'}",3.0,"{'1': '196-269', '2': '296-414', '3': '541-634'}",,
P53318,,,2.0,"{'1': '26-290', '2': '344-479'}",1.0,{'1': '22-475'},1.0,{'1': '28-404'},1.0,{'1': '28-470'},1.0,{'1': '380-393'},,,2.0,"{'1': '28-471', '2': '29-475'}"
P53319,6.0,"{'1': '6-29', '2': '69-98', '3': '122-147', '4': '170-198', '5': '251-278', '6': '360-382'}",1.0,{'1': '183-438'},1.0,{'1': '6-491'},2.0,"{'1': '181-478', '2': '8-174'}",2.0,"{'1': '179-482', '2': '7-178'}",1.0,{'1': '255-267'},1.0,{'1': '181-479'},1.0,{'1': '7-479'}
P53320,,,2.0,"{'1': '1-210', '2': '217-365'}",1.0,{'1': '4-363'},3.0,"{'1': '101-148', '2': '156-251', '3': '265-363'}",1.0,{'1': '12-354'},3.0,"{'1': '14-149', '2': '156-250', '3': '266-359'}",,,,
P53322,,,2.0,"{'1': '81-280', '2': '313-509'}",,,1.0,{'1': '98-458'},1.0,{'1': '78-493'},,,,,,
P53323,,,,,,,,,1.0,{'1': '20-198'},2.0,"{'1': '16-261', '2': '157-169'}",,,1.0,{'1': '25-255'}
P53324,,,1.0,{'1': '121-412'},1.0,{'1': '161-395'},1.0,{'1': '50-421'},1.0,{'1': '124-383'},,,,,,
P53326,,,1.0,{'1': '148-595'},,,2.0,"{'1': '125-420', '2': '433-606'}",,,,,,,,
P53327,,,7.0,"{'1': '279-493', '2': '494-696', '3': '1104-1331', '4': '1332-1538', '5': '995-1103', '6': '704-793', '7': '1539-1634'}",1.0,{'1': '184-1108'},8.0,"{'1': '587-673', '2': '1421-1508', '3': '796-1099', '4': '1632-1921', '5': '289-469', '6': '1141-1307', '7': '704-763', '8': '1539-1619'}",6.0,"{'1': '224-482', '2': '488-702', '3': '1033-1317', '4': '1326-1536', '5': '702-807', '6': '1537-1638'}",4.0,"{'1': '516-735', '2': '1355-1550', '3': '297-485', '4': '1149-1324'}",8.0,"{'1': '581-673', '2': '1417-1509', '3': '302-489', '4': '1154-1388', '5': '795-1100', '6': '1626-1965', '7': '284-500', '8': '1136-1336'}",,
P53330,,,,,,,1.0,{'1': '5-140'},,,,,,,,
P53332,,,1.0,{'1': '145-294'},,,1.0,{'1': '147-288'},,,,,,,,
P53333,,,,,1.0,{'1': '9-501'},1.0,{'1': '291-398'},1.0,{'1': '12-206'},1.0,{'1': '290-407'},2.0,"{'1': '22-204', '2': '291-398'}",,
P53335,,,,,1.0,{'1': '17-232'},1.0,{'1': '25-70'},,,1.0,{'1': '25-72'},1.0,{'1': '23-70'},,
P53336,,,2.0,"{'1': '32-168', '2': '186-339'}",1.0,{'1': '11-338'},1.0,{'1': '40-335'},1.0,{'1': '36-161'},,,,,,
P53337,,,,,,,1.0,{'1': '49-310'},,,1.0,{'1': '277-291'},,,,
P53344,,,,,,,2.0,"{'1': '68-167', '2': '259-353'}",,,,,,,,
P53378,15.0,"{'1': '11-31', '2': '54-73', '3': '97-108', '4': '109-133', '5': '135-153', '6': '154-175', '7': '178-191', '8': '192-212', '9': '379-407', '10': '117-132', '11': '192-205', '12': '250-261', '13': '287-302', '14': '363-383', '15': '422-445'}",3.0,"{'1': '382-443', '2': '1-268', '3': '270-380'}",1.0,{'1': '4-442'},2.0,"{'1': '4-213', '2': '263-391'}",2.0,"{'1': '246-445', '2': '4-245'}",1.0,{'1': '143-149'},2.0,"{'1': '50-246', '2': '248-392'}",,
P53379,4.0,"{'1': '87-107', '2': '293-306', '3': '357-368', '4': '444-459'}",2.0,"{'1': '70-298', '2': '300-478'}",1.0,{'1': '72-469'},1.0,{'1': '81-470'},1.0,{'1': '65-495'},3.0,"{'1': '96-107', '2': '357-368', '3': '81-468'}",,,,
P53388,,,,,1.0,{'1': '59-585'},1.0,{'1': '90-556'},,,1.0,{'1': '115-146'},,,1.0,{'1': '83-564'}
P53389,,,1.0,{'1': '61-563'},,,1.0,{'1': '72-506'},1.0,{'1': '48-568'},,,,,,
P53394,,,1.0,{'1': '543-711'},1.0,{'1': '85-709'},2.0,"{'1': '578-688', '2': '119-513'}",1.0,{'1': '579-688'},2.0,"{'1': '574-725', '2': '149-170'}",,,,
P53397,,,1.0,{'1': '252-329'},1.0,{'1': '6-343'},2.0,"{'1': '127-279', '2': '7-126'}",1.0,{'1': '121-325'},,,1.0,{'1': '131-306'},1.0,{'1': '1-331'}
P53437,,,,,,,1.0,{'1': '47-111'},,,,,,,,
P53538,,,,,1.0,{'1': '8-201'},1.0,{'1': '9-206'},,,,,,,,
P53540,,,1.0,{'1': '474-837'},1.0,{'1': '113-837'},2.0,"{'1': '476-830', '2': '185-467'}",,,,,,,,
P53549,,,2.0,"{'1': '37-170', '2': '171-351'}",1.0,{'1': '59-427'},3.0,"{'1': '218-351', '2': '105-160', '3': '374-416'}",1.0,{'1': '177-426'},1.0,{'1': '321-339'},1.0,{'1': '214-353'},,
P53550,,,1.0,{'1': '18-101'},,,2.0,"{'1': '105-218', '2': '18-99'}",2.0,"{'1': '84-235', '2': '11-101'}",2.0,"{'1': '101-228', '2': '134-155'}",1.0,{'1': '16-100'},,
P53551,4.0,"{'1': '30-51', '2': '57-74', '3': '128-142', '4': '164-181'}",2.0,"{'1': '38-130', '2': '171-258'}",,,2.0,"{'1': '45-116', '2': '179-250'}",2.0,"{'1': '42-127', '2': '173-254'}",2.0,"{'1': '43-117', '2': '176-251'}",2.0,"{'1': '41-109', '2': '174-243'}",,
P53552,,,,,1.0,{'1': '68-1594'},4.0,"{'1': '938-1107', '2': '1114-1192', '3': '658-732', '4': '29-656'}",,,,,,,,
P53598,,,1.0,{'1': '150-328'},,,2.0,"{'1': '35-127', '2': '181-308'}",2.0,"{'1': '152-321', '2': '24-151'}",2.0,"{'1': '271-286', '2': '182-211'}",1.0,{'1': '32-128'},,
P53599,,,,,1.0,{'1': '1218-1561'},1.0,{'1': '1267-1558'},1.0,{'1': '1263-1563'},3.0,"{'1': '1266-1558', '2': '1386-1398', '3': '1272-1295'}",1.0,{'1': '1266-1558'},,
P53600,,,,,1.0,{'1': '4-155'},1.0,{'1': '8-153'},1.0,{'1': '9-155'},,,,,,
P53604,,,,,,,1.0,{'1': '29-70'},,,,,,,,
P53615,,,1.0,{'1': '10-221'},1.0,{'1': '13-213'},1.0,{'1': '52-208'},1.0,{'1': '5-214'},1.0,{'1': '96-116'},1.0,{'1': '45-213'},,
P53616,,,,,1.0,{'1': '7-419'},1.0,{'1': '165-407'},,,,,,,,
P53617,,,2.0,"{'1': '5-160', '2': '330-415'}",,,3.0,"{'1': '341-396', '2': '20-144', '3': '407-462'}",2.0,"{'1': '10-152', '2': '332-414'}",2.0,"{'1': '339-409', '2': '1-153'}",2.0,"{'1': '340-405', '2': '9-150'}",,
P53622,3.0,"{'1': '110-124', '2': '152-166', '3': '268-282'}",1.0,{'1': '1-324'},1.0,{'1': '6-334'},8.0,"{'1': '43-81', '2': '86-123', '3': '128-165', '4': '203-236', '5': '246-281', '6': '343-586', '7': '829-1199', '8': '627-768'}",2.0,"{'1': '445-598', '2': '3-318'}",7.0,"{'1': '49-90', '2': '91-132', '3': '133-174', '4': '205-246', '5': '249-290', '6': '152-166', '7': '268-282'}",7.0,"{'1': '4-39', '2': '42-81', '3': '84-123', '4': '126-165', '5': '198-237', '6': '242-281', '7': '284-322'}",,
P53628,,,,,,,,,1.0,{'1': '299-426'},,,,,,
P53629,,,,,1.0,{'1': '170-640'},1.0,{'1': '215-641'},,,,,,,,
P53632,,,1.0,{'1': '192-301'},1.0,{'1': '24-533'},2.0,"{'1': '371-431', '2': '181-311'}",1.0,{'1': '153-328'},,,,,,
P53633,,,,,1.0,{'1': '23-173'},1.0,{'1': '32-172'},,,,,,,,
P53685,,,1.0,{'1': '214-391'},1.0,{'1': '176-473'},2.0,"{'1': '208-419', '2': '49-207'}",1.0,{'1': '186-482'},1.0,{'1': '183-468'},,,,
P53691,5.0,"{'1': '24-39', '2': '62-74', '3': '105-120', '4': '120-132', '5': '133-148'}",2.0,"{'1': '218-371', '2': '1-181'}",,,1.0,{'1': '7-174'},2.0,"{'1': '217-363', '2': '2-181'}",3.0,"{'1': '7-174', '2': '308-341', '3': '57-74'}",1.0,{'1': '308-341'},,
P53721,,,,,1.0,{'1': '102-200'},1.0,{'1': '125-164'},,,1.0,{'1': '89-180'},,,,
P53723,,,,,1.0,{'1': '19-402'},1.0,{'1': '44-394'},,,,,,,,
P53724,,,1.0,{'1': '1-64'},,,,,,,,,,,,
P53727,,,1.0,{'1': '6-307'},1.0,{'1': '5-304'},1.0,{'1': '81-243'},1.0,{'1': '9-303'},,,,,1.0,{'1': '8-279'}
P53729,,,2.0,"{'1': '68-292', '2': '304-427'}",1.0,{'1': '65-428'},2.0,"{'1': '72-273', '2': '362-427'}",1.0,{'1': '69-295'},,,,,,
P53731,,,2.0,"{'1': '1-137', '2': '146-339'}",1.0,{'1': '1-325'},1.0,{'1': '56-315'},2.0,"{'1': '1-126', '2': '151-315'}",,,,,,
P53732,6.0,"{'1': '55-70', '2': '70-85', '3': '86-105', '4': '105-122', '5': '122-138', '6': '138-150'}",1.0,{'1': '25-153'},1.0,{'1': '25-151'},1.0,{'1': '48-150'},1.0,{'1': '42-151'},1.0,{'1': '71-78'},,,1.0,{'1': '29-151'}
P53733,3.0,"{'1': '35-54', '2': '55-67', '3': '67-82'}",1.0,{'1': '8-91'},1.0,{'1': '9-85'},1.0,{'1': '10-85'},1.0,{'1': '9-85'},1.0,{'1': '55-79'},,,,
P53734,,,2.0,"{'1': '148-402', '2': '426-628'}",,,2.0,"{'1': '448-563', '2': '229-389'}",1.0,{'1': '229-571'},3.0,"{'1': '339-347', '2': '437-603', '3': '221-401'}",2.0,"{'1': '478-563', '2': '193-418'}",,
P53738,,,,,1.0,{'1': '1-133'},1.0,{'1': '2-124'},,,,,,,,
P53739,,,,,,,1.0,{'1': '496-777'},1.0,{'1': '479-798'},3.0,"{'1': '496-777', '2': '778-861', '3': '617-629'}",1.0,{'1': '496-777'},,
P53740,,,,,1.0,{'1': '20-371'},1.0,{'1': '66-362'},,,,,,,,
P53741,,,,,1.0,{'1': '6-500'},1.0,{'1': '9-140'},1.0,{'1': '4-141'},2.0,"{'1': '418-494', '2': '8-140'}",,,,
P53742,2.0,"{'1': '318-338', '2': '364-379'}",2.0,"{'1': '375-470', '2': '211-374'}",1.0,{'1': '30-481'},2.0,"{'1': '318-380', '2': '41-171'}",1.0,{'1': '208-389'},1.0,{'1': '212-373'},,,,
P53743,,,1.0,{'1': '39-208'},1.0,{'1': '50-312'},,,1.0,{'1': '108-196'},,,,,,
P53744,,,,,,,1.0,{'1': '45-548'},,,,,,,,
P53746,,,1.0,{'1': '515-715'},1.0,{'1': '126-719'},3.0,"{'1': '424-524', '2': '530-698', '3': '273-390'}",2.0,"{'1': '432-523', '2': '515-699'}",1.0,{'1': '408-527'},,,,
P53753,,,,,1.0,{'1': '357-1111'},2.0,"{'1': '421-744', '2': '753-1106'}",,,1.0,{'1': '400-1117'},,,,
P53759,,,1.0,{'1': '29-268'},,,1.0,{'1': '33-344'},,,1.0,{'1': '115-133'},,,,
P53769,,,1.0,{'1': '167-259'},1.0,{'1': '3-258'},1.0,{'1': '141-165'},1.0,{'1': '136-170'},2.0,"{'1': '138-166', '2': '199-237'}",2.0,"{'1': '138-165', '2': '199-236'}",,
