UniProtKB-AC,SUPERFAMILY_Ndomains,SUPERFAMILY_domains,Gene3D_Ndomains,Gene3D_domains,PANTHER_Ndomains,PANTHER_domains,Pfam_Ndomains,Pfam_domains,PROSITE_PROFILE_Ndomains,PROSITE_PROFILE_domains,PROSITE_PATTERN_Ndomains,PROSITE_PATTERN_domains,SMART_Ndomains,SMART_domains,TIGRFAM_Ndomains,TIGRFAM_domains
Q9LHA6,,,2.0,"{'1': '69-225', '2': '227-363'}",,,2.0,"{'1': '82-216', '2': '239-358'}",,,2.0,"{'1': '80-216', '2': '236-359'}",2.0,"{'1': '85-196', '2': '238-340'}",,
Q9LHA8,4.0,"{'1': '392-549', '2': '543-622', '3': '8-191', '4': '198-388'}",2.0,"{'1': '391-544', '2': '545-619'}",1.0,{'1': '9-583'},1.0,{'1': '9-618'},,,3.0,"{'1': '12-19', '2': '203-216', '3': '340-354'}",,,,
Q9LHD9,,,,,1.0,{'1': '13-373'},1.0,{'1': '29-372'},,,,,,,,
Q9LHE5,,,1.0,{'1': '17-308'},1.0,{'1': '6-309'},1.0,{'1': '31-303'},,,,,,,,
Q9LHE7,1.0,{'1': '2-286'},1.0,{'1': '1-303'},1.0,{'1': '2-303'},1.0,{'1': '44-237'},7.0,"{'1': '44-71', '2': '73-100', '3': '106-130', '4': '141-167', '5': '170-197', '6': '226-246', '7': '249-265'}",1.0,{'1': '107-112'},1.0,{'1': '16-287'},,
Q9LHE9,1.0,{'1': '140-887'},1.0,{'1': '164-770'},,,4.0,"{'1': '843-859', '2': '913-929', '3': '167-825', '4': '115-159'}",5.0,"{'1': '195-214', '2': '249-274', '3': '291-318', '4': '523-551', '5': '576-604'}",2.0,"{'1': '165-837', '2': '112-161'}",5.0,"{'1': '838-860', '2': '861-883', '3': '887-909', '4': '910-932', '5': '159-838'}",,
Q9LHG0,1.0,{'1': '4-88'},1.0,{'1': '1-86'},1.0,{'1': '7-123'},1.0,{'1': '8-71'},,,,,,,,
Q9LHG9,,,1.0,{'1': '69-122'},1.0,{'1': '20-202'},2.0,"{'1': '63-118', '2': '164-202'}",,,1.0,{'1': '60-125'},1.0,{'1': '63-119'},,
Q9LHJ8,1.0,{'1': '87-154'},1.0,{'1': '77-156'},1.0,{'1': '23-159'},2.0,"{'1': '101-138', '2': '25-47'}",,,2.0,"{'1': '95-141', '2': '20-54'}",2.0,"{'1': '101-138', '2': '23-47'}",,
Q9LHP1,1.0,{'1': '85-244'},2.0,"{'1': '85-189', '2': '190-244'}",1.0,{'1': '6-244'},2.0,"{'1': '10-81', '2': '86-136'}",,,1.0,{'1': '104-136'},,,1.0,{'1': '11-244'}
Q9LHP2,1.0,{'1': '37-141'},1.0,{'1': '28-142'},1.0,{'1': '36-242'},1.0,{'1': '39-108'},,,1.0,{'1': '37-115'},1.0,{'1': '38-111'},,
Q9LHP4,1.0,{'1': '777-1063'},4.0,"{'1': '35-196', '2': '199-338', '3': '339-437', '4': '440-704'}",1.0,{'1': '495-1064'},11.0,"{'1': '790-1062', '2': '348-369', '3': '371-393', '4': '420-439', '5': '467-489', '6': '516-537', '7': '540-561', '8': '588-607', '9': '616-634', '10': '105-165', '11': '221-331'}",,,3.0,"{'1': '786-1074', '2': '915-927', '3': '792-815'}",6.0,"{'1': '786-1067', '2': '152-176', '3': '297-321', '4': '441-465', '5': '489-513', '6': '537-561'}",,
Q9LHQ7,1.0,{'1': '70-340'},1.0,{'1': '58-342'},1.0,{'1': '42-341'},1.0,{'1': '32-341'},,,1.0,{'1': '61-341'},,,,
Q9LHS5,3.0,"{'1': '475-518', '2': '605-658', '3': '78-178'}",1.0,{'1': '84-194'},1.0,{'1': '12-661'},4.0,"{'1': '607-650', '2': '475-544', '3': '100-179', '4': '196-299'}",3.0,"{'1': '105-123', '2': '123-138', '3': '154-174'}",4.0,"{'1': '469-524', '2': '607-653', '3': '100-182', '4': '159-178'}",3.0,"{'1': '473-526', '2': '603-655', '3': '99-174'}",,
Q9LI77,1.0,{'1': '46-530'},1.0,{'1': '43-527'},1.0,{'1': '40-527'},1.0,{'1': '62-513'},,,1.0,{'1': '189-220'},,,1.0,{'1': '53-523'}
Q9LIB2,,,,,1.0,{'1': '75-960'},2.0,"{'1': '181-504', '2': '557-956'}",,,1.0,{'1': '800-812'},,,1.0,{'1': '556-956'}
Q9LID3,1.0,{'1': '137-420'},,,1.0,{'1': '130-668'},2.0,"{'1': '137-372', '2': '436-703'}",,,3.0,"{'1': '137-435', '2': '263-275', '3': '143-175'}",1.0,{'1': '137-435'},,
Q9LII1,1.0,{'1': '79-190'},1.0,{'1': '80-198'},1.0,{'1': '47-202'},1.0,{'1': '81-189'},,,1.0,{'1': '80-195'},,,,
Q9LIJ8,,,,,1.0,{'1': '27-308'},1.0,{'1': '82-291'},,,,,,,1.0,{'1': '169-292'}
Q9LIK0,3.0,"{'1': '186-277', '2': '101-465', '3': '448-594'}",3.0,"{'1': '185-291', '2': '460-586', '3': '117-459'}",1.0,{'1': '99-584'},2.0,"{'1': '117-448', '2': '487-586'}",7.0,"{'1': '174-190', '2': '309-323', '3': '341-367', '4': '368-392', '5': '393-417', '6': '418-436', '7': '437-453'}",1.0,{'1': '339-351'},,,1.0,{'1': '117-585'}
Q9LIM8,,,,,,,1.0,{'1': '11-123'},,,1.0,{'1': '1-149'},,,,
Q9LIN0,,,1.0,{'1': '1-152'},1.0,{'1': '1-152'},1.0,{'1': '2-151'},,,,,1.0,{'1': '2-152'},,
Q9LIP2,1.0,{'1': '52-256'},1.0,{'1': '58-267'},1.0,{'1': '53-244'},1.0,{'1': '56-236'},4.0,"{'1': '65-80', '2': '186-197', '3': '197-208', '4': '222-233'}",2.0,"{'1': '61-108', '2': '57-236'}",,,,
Q9LIQ9,,,,,1.0,{'1': '77-714'},,,,,,,,,,
Q9LJB7,,,,,,,,,,,,,1.0,{'1': '1-46'},,
Q9LJD7,1.0,{'1': '29-181'},1.0,{'1': '26-182'},,,1.0,{'1': '40-176'},,,1.0,{'1': '36-182'},,,,
Q9LJD8,3.0,"{'1': '17-275', '2': '578-1255', '3': '1232-1341'}",3.0,"{'1': '563-780', '2': '1023-1171', '3': '1172-1360'}",1.0,{'1': '665-1368'},1.0,{'1': '21-274'},4.0,"{'1': '96-109', '2': '134-152', '3': '200-222', '4': '243-265'}",3.0,"{'1': '20-274', '2': '140-152', '3': '26-49'}",5.0,"{'1': '606-646', '2': '648-691', '3': '1102-1146', '4': '1148-1187', '5': '20-274'}",,
Q9LJE4,3.0,"{'1': '234-426', '2': '191-245', '3': '62-574'}",3.0,"{'1': '242-423', '2': '188-460', '3': '57-575'}",1.0,{'1': '47-583'},1.0,{'1': '74-576'},5.0,"{'1': '78-104', '2': '134-161', '3': '318-341', '4': '400-425', '5': '448-469'}",1.0,{'1': '455-466'},,,1.0,{'1': '52-579'}
Q9LJE5,,,,,1.0,{'1': '80-637'},1.0,{'1': '443-580'},,,1.0,{'1': '442-579'},,,,
Q9LJF3,1.0,{'1': '839-1132'},1.0,{'1': '81-756'},1.0,{'1': '449-1133'},13.0,"{'1': '860-1130', '2': '177-195', '3': '376-398', '4': '476-498', '5': '525-546', '6': '548-568', '7': '124-139', '8': '201-215', '9': '278-338', '10': '404-462', '11': '665-723', '12': '32-73', '13': '572-636'}",,,3.0,"{'1': '858-1136', '2': '981-993', '3': '864-887'}",9.0,"{'1': '858-1136', '2': '100-123', '3': '124-148', '4': '301-324', '5': '374-398', '6': '475-498', '7': '522-546', '8': '662-685', '9': '686-709'}",,
Q9LJG3,,,1.0,{'1': '34-344'},1.0,{'1': '34-357'},1.0,{'1': '37-339'},,,,,,,,
Q9LJH8,2.0,"{'1': '57-223', '2': '258-349'}",3.0,"{'1': '1-141', '2': '142-223', '3': '243-344'}",1.0,{'1': '26-224'},3.0,"{'1': '61-127', '2': '146-216', '3': '267-324'}",,,3.0,"{'1': '59-133', '2': '144-222', '3': '265-340'}",3.0,"{'1': '60-129', '2': '145-218', '3': '266-336'}",,
Q9LJI5,1.0,{'1': '14-349'},3.0,"{'1': '91-195', '2': '206-309', '3': '14-335'}",1.0,{'1': '1-350'},1.0,{'1': '16-344'},,,,,,,,
Q9LJL6,,,1.0,{'1': '41-127'},1.0,{'1': '18-129'},1.0,{'1': '78-121'},,,1.0,{'1': '79-121'},,,,
Q9LJN8,1.0,{'1': '16-303'},1.0,{'1': '2-334'},,,3.0,"{'1': '17-45', '2': '94-126', '3': '243-269'}",3.0,"{'1': '32-46', '2': '113-127', '3': '256-270'}",2.0,"{'1': '94-126', '2': '244-278'}",5.0,"{'1': '5-45', '2': '48-85', '3': '87-126', '4': '134-170', '5': '221-269'}",,
Q9LJR2,1.0,{'1': '17-270'},,,1.0,{'1': '6-271'},1.0,{'1': '20-270'},,,,,,,,
Q9LJR3,2.0,"{'1': '66-305', '2': '531-842'}",1.0,{'1': '508-845'},1.0,{'1': '50-844'},2.0,"{'1': '534-561', '2': '613-786'}",3.0,"{'1': '599-613', '2': '642-656', '3': '726-740'}",5.0,"{'1': '1-297', '2': '599-621', '3': '622-664', '4': '708-741', '5': '726-740'}",8.0,"{'1': '2-297', '2': '527-562', '3': '573-612', '4': '615-655', '5': '658-697', '6': '701-739', '7': '748-787', '8': '803-842'}",,
Q9LJW6,,,1.0,{'1': '39-120'},1.0,{'1': '1-116'},1.0,{'1': '1-96'},4.0,"{'1': '13-26', '2': '26-43', '3': '44-54', '4': '66-88'}",1.0,{'1': '15-28'},,,,
Q9LJX0,4.0,"{'1': '358-602', '2': '1002-1248', '3': '28-351', '4': '675-990'}",3.0,"{'1': '363-626', '2': '1000-1251', '3': '88-984'}",1.0,{'1': '12-603'},4.0,"{'1': '384-532', '2': '1029-1177', '3': '42-314', '4': '688-959'}",,,6.0,"{'1': '365-601', '2': '1010-1246', '3': '42-330', '4': '688-975', '5': '504-518', '6': '1149-1163'}",2.0,"{'1': '392-578', '2': '1037-1223'}",,
Q9LJX4,1.0,{'1': '610-944'},1.0,{'1': '606-953'},,,8.0,"{'1': '632-666', '2': '671-701', '3': '704-737', '4': '745-760', '5': '776-811', '6': '815-847', '7': '849-883', '8': '891-922'}",,,9.0,"{'1': '628-663', '2': '664-699', '3': '700-735', '4': '736-771', '5': '772-808', '6': '809-844', '7': '845-880', '8': '881-922', '9': '608-948'}",8.0,"{'1': '628-663', '2': '664-699', '3': '700-735', '4': '736-771', '5': '772-808', '6': '809-844', '7': '845-880', '8': '887-922'}",,
Q9LJY5,1.0,{'1': '41-508'},1.0,{'1': '30-502'},1.0,{'1': '15-500'},1.0,{'1': '43-503'},12.0,"{'1': '311-328', '2': '364-375', '3': '445-454', '4': '454-465', '5': '71-90', '6': '189-207', '7': '300-317', '8': '320-346', '9': '363-381', '10': '403-427', '11': '444-454', '12': '454-477'}",1.0,{'1': '447-456'},,,,
Q9LK22,1.0,{'1': '83-180'},,,1.0,{'1': '1-251'},1.0,{'1': '107-162'},,,1.0,{'1': '104-180'},,,,
Q9LK29,2.0,"{'1': '262-306', '2': '72-261'}",1.0,{'1': '67-262'},1.0,{'1': '32-304'},1.0,{'1': '78-294'},8.0,"{'1': '76-95', '2': '96-115', '3': '141-161', '4': '174-198', '5': '212-223', '6': '223-242', '7': '243-262', '8': '262-277'}",1.0,{'1': '90-246'},,,,
Q9LK34,2.0,"{'1': '58-255', '2': '265-482'}",2.0,"{'1': '59-265', '2': '266-481'}",,,2.0,"{'1': '280-481', '2': '64-250'}",,,,,,,1.0,{'1': '63-262'}
Q9LK43,1.0,{'1': '554-860'},2.0,"{'1': '23-317', '2': '320-442'}",1.0,{'1': '7-928'},7.0,"{'1': '581-852', '2': '183-204', '3': '386-406', '4': '410-428', '5': '86-143', '6': '24-59', '7': '320-357'}",,,3.0,"{'1': '578-858', '2': '703-715', '3': '584-606'}",6.0,"{'1': '578-858', '2': '107-130', '3': '131-157', '4': '158-180', '5': '181-205', '6': '384-407'}",,
Q9LK50,1.0,{'1': '102-321'},1.0,{'1': '89-324'},1.0,{'1': '41-673'},3.0,"{'1': '107-257', '2': '415-623', '3': '286-345'}",,,1.0,{'1': '65-329'},1.0,{'1': '116-306'},,
Q9LK52,,,,,1.0,{'1': '1-230'},1.0,{'1': '1-230'},,,,,,,,
Q9LK57,,,2.0,"{'1': '97-225', '2': '226-388'}",1.0,{'1': '59-377'},4.0,"{'1': '319-343', '2': '112-153', '3': '175-220', '4': '246-293'}",,,4.0,"{'1': '176-210', '2': '211-245', '3': '246-280', '4': '281-315'}",,,4.0,"{'1': '112-140', '2': '143-176', '3': '179-211', '4': '283-315'}"
Q9LK95,1.0,{'1': '20-116'},,,1.0,{'1': '17-181'},2.0,"{'1': '22-69', '2': '75-118'}",,,4.0,"{'1': '17-69', '2': '70-120', '3': '17-69', '4': '70-124'}",2.0,"{'1': '21-71', '2': '74-122'}",,
Q9LKA1,,,,,,,1.0,{'1': '25-243'},,,,,,,,
Q9LKA5,,,,,1.0,{'1': '15-365'},1.0,{'1': '97-188'},,,,,,,,
Q9LKL2,1.0,{'1': '17-144'},,,1.0,{'1': '19-425'},2.0,"{'1': '21-132', '2': '533-575'}",,,2.0,"{'1': '20-138', '2': '533-575'}",1.0,{'1': '19-134'},,
Q9LKR3,4.0,"{'1': '418-574', '2': '568-651', '3': '36-219', '4': '222-413'}",2.0,"{'1': '415-556', '2': '557-655'}",1.0,{'1': '37-607'},1.0,{'1': '37-644'},,,3.0,"{'1': '40-47', '2': '228-241', '3': '365-379'}",,,,
Q9LKR8,,,,,1.0,{'1': '2-434'},3.0,"{'1': '73-133', '2': '273-420', '3': '145-254'}",,,,,,,,
Q9LL84,4.0,"{'1': '451-602', '2': '655-740', '3': '796-911', '4': '3-209'}",4.0,"{'1': '446-606', '2': '665-780', '3': '798-909', '4': '1-219'}",1.0,{'1': '3-1212'},4.0,"{'1': '655-734', '2': '6-187', '3': '466-585', '4': '227-442'}",,,5.0,"{'1': '651-739', '2': '839-909', '3': '336-479', '4': '418-442', '5': '251-259'}",1.0,{'1': '653-729'},1.0,{'1': '61-600'}
Q9LLR6,1.0,{'1': '24-111'},1.0,{'1': '24-112'},1.0,{'1': '9-109'},1.0,{'1': '27-108'},4.0,"{'1': '26-42', '2': '46-60', '3': '81-98', '4': '99-110'}",1.0,{'1': '90-111'},1.0,{'1': '27-108'},,
Q9LLR7,1.0,{'1': '24-115'},1.0,{'1': '24-115'},1.0,{'1': '8-112'},1.0,{'1': '27-111'},5.0,"{'1': '26-42', '2': '46-60', '3': '67-82', '4': '84-101', '5': '102-113'}",1.0,{'1': '93-114'},1.0,{'1': '27-111'},,
Q9LM25,,,4.0,"{'1': '87-200', '2': '208-317', '3': '318-429', '4': '430-596'}",1.0,{'1': '4-656'},9.0,"{'1': '124-159', '2': '242-277', '3': '280-313', '4': '321-349', '5': '353-386', '6': '392-422', '7': '437-455', '8': '506-528', '9': '540-568'}",,,,,8.0,"{'1': '124-159', '2': '242-278', '3': '279-314', '4': '315-351', '5': '352-387', '6': '388-423', '7': '504-539', '8': '540-575'}",,
Q9LM33,1.0,{'1': '98-399'},,,1.0,{'1': '102-445'},1.0,{'1': '104-395'},,,3.0,"{'1': '104-395', '2': '139-242', '3': '110-134'}",1.0,{'1': '104-395'},,
Q9LM66,1.0,{'1': '45-352'},,,1.0,{'1': '44-348'},2.0,"{'1': '138-352', '2': '51-107'}",3.0,"{'1': '156-171', '2': '298-308', '3': '313-319'}",3.0,"{'1': '156-167', '2': '296-306', '3': '313-332'}",2.0,"{'1': '138-353', '2': '51-107'}",,
Q9LMA8,,,,,1.0,{'1': '18-238'},2.0,"{'1': '122-154', '2': '202-227'}",,,1.0,{'1': '120-155'},1.0,{'1': '120-155'},,
Q9LME4,1.0,{'1': '31-280'},1.0,{'1': '28-281'},1.0,{'1': '22-280'},1.0,{'1': '42-273'},,,1.0,{'1': '33-280'},2.0,"{'1': '44-280', '2': '29-278'}",,
Q9LMJ4,1.0,{'1': '82-594'},,,1.0,{'1': '62-595'},1.0,{'1': '248-591'},,,,,,,,
Q9LMK5,1.0,{'1': '13-148'},1.0,{'1': '4-158'},1.0,{'1': '4-156'},1.0,{'1': '41-128'},,,,,,,,
Q9LMK7,,,1.0,{'1': '11-177'},1.0,{'1': '10-184'},1.0,{'1': '39-156'},,,1.0,{'1': '27-162'},1.0,{'1': '28-156'},,
Q9LMM0,,,1.0,{'1': '101-226'},,,2.0,"{'1': '302-403', '2': '24-214'}",,,,,1.0,{'1': '305-406'},,
Q9LMM5,1.0,{'1': '43-332'},,,1.0,{'1': '37-335'},1.0,{'1': '44-326'},,,4.0,"{'1': '40-326', '2': '75-178', '3': '162-174', '4': '46-70'}",1.0,{'1': '40-326'},,
Q9LMP1,1.0,{'1': '387-672'},,,1.0,{'1': '25-681'},3.0,"{'1': '407-674', '2': '29-85', '3': '278-318'}",,,7.0,"{'1': '295-306', '2': '404-677', '3': '304-318', '4': '230-277', '5': '278-319', '6': '525-537', '7': '278-304'}",4.0,"{'1': '404-677', '2': '233-277', '3': '281-319', '4': '278-319'}",,
Q9LMR1,1.0,{'1': '90-306'},2.0,"{'1': '89-298', '2': '307-447'}",1.0,{'1': '86-447'},2.0,"{'1': '93-278', '2': '354-447'}",,,,,1.0,{'1': '353-447'},,
Q9LMT0,1.0,{'1': '7-299'},,,1.0,{'1': '10-296'},1.0,{'1': '13-292'},,,3.0,"{'1': '12-292', '2': '130-142', '3': '18-42'}",1.0,{'1': '12-292'},,
Q9LMT2,2.0,"{'1': '358-482', '2': '12-205'}",1.0,{'1': '44-200'},,,4.0,"{'1': '359-417', '2': '420-488', '3': '211-355', '4': '12-206'}",,,,,,,,
Q9LMU2,1.0,{'1': '27-195'},,,1.0,{'1': '6-194'},1.0,{'1': '29-194'},4.0,"{'1': '28-57', '2': '66-86', '3': '141-160', '4': '164-193'}",1.0,{'1': '29-45'},1.0,{'1': '28-196'},,
Q9LN09,1.0,{'1': '90-188'},1.0,{'1': '81-187'},1.0,{'1': '94-194'},1.0,{'1': '109-172'},,,,,,,,
Q9LNB6,1.0,{'1': '8-489'},3.0,"{'1': '1-116', '2': '241-375', '3': '383-496'}",,,3.0,"{'1': '72-103', '2': '134-186', '3': '513-565'}",,,6.0,"{'1': '2-35', '2': '70-103', '3': '244-277', '4': '383-416', '5': '417-450', '6': '451-484'}",11.0,"{'1': '133-172', '2': '521-560', '3': '2-35', '4': '36-69', '5': '70-103', '6': '244-277', '7': '278-311', '8': '319-356', '9': '383-416', '10': '417-450', '11': '451-484'}",,
Q9LND7,3.0,"{'1': '10-73', '2': '297-436', '3': '92-147'}",1.0,{'1': '293-435'},,,1.0,{'1': '317-408'},,,1.0,{'1': '295-436'},,,,
Q9LNJ0,1.0,{'1': '400-596'},1.0,{'1': '471-591'},,,1.0,{'1': '79-401'},,,1.0,{'1': '473-603'},1.0,{'1': '473-601'},,
Q9LNK1,1.0,{'1': '24-202'},1.0,{'1': '22-212'},1.0,{'1': '25-204'},1.0,{'1': '30-190'},,,1.0,{'1': '23-237'},1.0,{'1': '31-193'},1.0,{'1': '28-183'}
Q9LNK7,1.0,{'1': '65-138'},,,1.0,{'1': '18-316'},1.0,{'1': '18-310'},,,,,,,,
Q9LNP6,,,,,1.0,{'1': '53-276'},1.0,{'1': '127-241'},2.0,"{'1': '173-195', '2': '204-227'}",2.0,"{'1': '170-230', '2': '175-195'}",1.0,{'1': '169-230'},,
Q9LNP9,1.0,{'1': '180-502'},1.0,{'1': '175-511'},1.0,{'1': '143-501'},1.0,{'1': '230-494'},,,2.0,"{'1': '237-245', '2': '188-501'}",1.0,{'1': '178-499'},,
Q9LNR3,2.0,"{'1': '227-919', '2': '84-226'}",1.0,{'1': '329-417'},1.0,{'1': '93-919'},2.0,"{'1': '136-221', '2': '234-902'}",12.0,"{'1': '192-210', '2': '218-239', '3': '257-273', '4': '289-308', '5': '355-376', '6': '404-420', '7': '443-462', '8': '510-534', '9': '831-845', '10': '555-572', '11': '573-590', '12': '593-613'}",4.0,"{'1': '86-222', '2': '225-919', '3': '573-587', '4': '600-610'}",1.0,{'1': '84-223'},,
Q9LNT9,2.0,"{'1': '6-66', '2': '86-161'}",1.0,{'1': '1-163'},1.0,{'1': '5-158'},2.0,"{'1': '115-161', '2': '6-65'}",,,,,1.0,{'1': '5-113'},,
Q9LNU4,1.0,{'1': '346-422'},,,1.0,{'1': '15-479'},3.0,"{'1': '337-417', '2': '421-487', '3': '22-317'}",,,1.0,{'1': '240-421'},1.0,{'1': '346-439'},,
Q9LNV0,1.0,{'1': '9-151'},1.0,{'1': '7-153'},,,1.0,{'1': '9-104'},,,1.0,{'1': '1-113'},1.0,{'1': '8-110'},,
Q9LNV5,2.0,"{'1': '222-312', '2': '159-182'}",1.0,{'1': '213-310'},1.0,{'1': '1-378'},3.0,"{'1': '230-294', '2': '156-193', '3': '20-108'}",,,2.0,"{'1': '228-301', '2': '157-184'}",2.0,"{'1': '229-297', '2': '157-183'}",,
Q9LNW0,1.0,{'1': '17-148'},1.0,{'1': '10-157'},1.0,{'1': '14-156'},1.0,{'1': '51-156'},,,2.0,"{'1': '41-156', '2': '45-151'}",,,,
Q9LNX4,,,,,1.0,{'1': '13-78'},,,,,,,,,,
Q9LP45,2.0,"{'1': '127-320', '2': '311-393'}",,,1.0,{'1': '18-416'},3.0,"{'1': '302-384', '2': '15-136', '3': '389-415'}",,,1.0,{'1': '217-388'},1.0,{'1': '317-400'},,
Q9LP46,,,,,1.0,{'1': '3-1019'},,,,,,,,,,
Q9LP77,1.0,{'1': '375-642'},1.0,{'1': '33-191'},1.0,{'1': '15-644'},5.0,"{'1': '375-639', '2': '146-168', '3': '170-187', '4': '87-133', '5': '33-69'}",,,3.0,"{'1': '371-646', '2': '170-192', '3': '377-399'}",,,,
Q9LPD2,2.0,"{'1': '6-213', '2': '198-408'}",,,1.0,{'1': '1-581'},2.0,"{'1': '1-89', '2': '131-213'}",5.0,"{'1': '25-39', '2': '70-89', '3': '127-144', '4': '148-168', '5': '203-218'}",,,3.0,"{'1': '1-96', '2': '128-198', '3': '200-234'}",,
Q9LPL4,1.0,{'1': '27-63'},1.0,{'1': '65-354'},,,2.0,"{'1': '28-63', '2': '142-311'}",,,,,8.0,"{'1': '89-115', '2': '116-141', '3': '142-167', '4': '168-194', '5': '195-220', '6': '221-246', '7': '247-272', '8': '291-316'}",,
Q9LPN5,,,,,1.0,{'1': '3-206'},1.0,{'1': '12-209'},,,,,,,,
Q9LPP4,,,,,1.0,{'1': '22-115'},,,,,,,,,,
Q9LPR4,1.0,{'1': '491-611'},2.0,"{'1': '82-374', '2': '497-612'}",1.0,{'1': '77-612'},3.0,"{'1': '89-368', '2': '467-611', '3': '382-466'}",,,2.0,"{'1': '89-362', '2': '96-112'}",1.0,{'1': '467-612'},1.0,{'1': '89-609'}
Q9LPR8,,,,,1.0,{'1': '50-475'},1.0,{'1': '54-479'},,,1.0,{'1': '45-479'},,,,
Q9LPS1,2.0,"{'1': '23-241', '2': '243-495'}",,,1.0,{'1': '13-496'},2.0,"{'1': '41-236', '2': '246-494'}",,,1.0,{'1': '35-494'},,,,
Q9LPT6,1.0,{'1': '7-124'},,,,,2.0,"{'1': '11-112', '2': '173-207'}",,,1.0,{'1': '5-127'},,,,
Q9LPV8,2.0,"{'1': '4-138', '2': '276-418'}",3.0,"{'1': '1-133', '2': '277-434', '3': '134-275'}",1.0,{'1': '3-427'},3.0,"{'1': '15-137', '2': '142-275', '3': '279-416'}",,,,,1.0,{'1': '2-138'},1.0,{'1': '10-415'}
Q9LPV9,1.0,{'1': '31-340'},1.0,{'1': '19-345'},1.0,{'1': '12-346'},2.0,"{'1': '174-205', '2': '260-296'}",,,2.0,"{'1': '263-299', '2': '283-297'}",3.0,"{'1': '122-164', '2': '167-205', '3': '256-296'}",,
Q9LPW3,1.0,{'1': '266-337'},1.0,{'1': '250-327'},1.0,{'1': '113-445'},2.0,"{'1': '270-312', '2': '367-439'}",,,2.0,"{'1': '378-450', '2': '263-312'}",1.0,{'1': '269-318'},,
Q9LPZ1,,,1.0,{'1': '83-169'},1.0,{'1': '8-218'},1.0,{'1': '87-179'},,,,,,,,
Q9LQ04,1.0,{'1': '14-287'},,,1.0,{'1': '11-297'},1.0,{'1': '15-186'},,,,,,,,
Q9LQ10,1.0,{'1': '148-551'},2.0,"{'1': '190-440', '2': '158-545'}",1.0,{'1': '141-550'},1.0,{'1': '171-546'},,,,,,,,
Q9LQ55,1.0,{'1': '36-312'},2.0,"{'1': '572-706', '2': '37-318'}",1.0,{'1': '40-817'},4.0,"{'1': '257-494', '2': '583-702', '3': '735-817', '4': '41-205'}",4.0,"{'1': '38-56', '2': '63-80', '3': '175-193', '4': '194-210'}",4.0,"{'1': '579-703', '2': '64-73', '3': '737-830', '4': '35-303'}",2.0,"{'1': '11-249', '2': '580-705'}",,
Q9LQ73,,,,,,,1.0,{'1': '13-225'},,,,,,,,
Q9LQE3,1.0,{'1': '124-234'},1.0,{'1': '123-227'},1.0,{'1': '23-591'},3.0,"{'1': '126-227', '2': '273-354', '3': '505-547'}",,,2.0,"{'1': '126-228', '2': '511-592'}",1.0,{'1': '126-228'},,
Q9LQF2,1.0,{'1': '87-517'},1.0,{'1': '116-520'},1.0,{'1': '67-544'},1.0,{'1': '88-524'},,,,,,,,
Q9LQM3,3.0,"{'1': '89-122', '2': '172-199', '3': '257-291'}",,,1.0,{'1': '57-205'},3.0,"{'1': '92-115', '2': '261-286', '3': '176-198'}",,,3.0,"{'1': '91-118', '2': '172-200', '3': '260-288'}",3.0,"{'1': '91-117', '2': '172-199', '3': '260-287'}",,
Q9LQR8,1.0,{'1': '345-421'},,,1.0,{'1': '14-478'},3.0,"{'1': '335-416', '2': '420-486', '3': '22-316'}",,,1.0,{'1': '239-420'},1.0,{'1': '345-438'},,
Q9LQT8,,,1.0,{'1': '26-91'},1.0,{'1': '138-524'},2.0,"{'1': '169-529', '2': '28-95'}",,,1.0,{'1': '160-529'},,,,
Q9LQU4,,,,,1.0,{'1': '10-131'},1.0,{'1': '16-114'},,,,,,,1.0,{'1': '15-117'}
Q9LQZ2,1.0,{'1': '41-100'},1.0,{'1': '41-99'},,,1.0,{'1': '42-90'},2.0,"{'1': '42-53', '2': '64-80'}",1.0,{'1': '41-98'},1.0,{'1': '41-104'},,
Q9LQZ7,,,,,1.0,{'1': '1-319'},2.0,"{'1': '3-42', '2': '57-94'}",,,2.0,"{'1': '1-47', '2': '55-102'}",2.0,"{'1': '4-47', '2': '55-102'}",,
Q9LR33,1.0,{'1': '6-145'},,,,,1.0,{'1': '72-143'},,,1.0,{'1': '107-139'},,,,
Q9LR53,1.0,{'1': '207-503'},,,1.0,{'1': '211-501'},1.0,{'1': '213-497'},,,3.0,"{'1': '213-497', '2': '333-345', '3': '219-242'}",1.0,{'1': '213-497'},,
Q9LR64,,,1.0,{'1': '69-174'},1.0,{'1': '37-170'},1.0,{'1': '41-170'},,,,,,,,
Q9LR78,2.0,"{'1': '70-351', '2': '459-762'}",3.0,"{'1': '7-185', '2': '186-359', '3': '447-780'}",,,2.0,"{'1': '504-709', '2': '455-502'}",6.0,"{'1': '504-531', '2': '539-566', '3': '572-596', '4': '610-636', '5': '699-719', '6': '721-737'}",1.0,{'1': '573-578'},1.0,{'1': '476-759'},,
Q9LRP1,,,,,,,,,,,1.0,{'1': '146-208'},1.0,{'1': '141-208'},,
Q9LRR9,,,1.0,{'1': '1-367'},,,1.0,{'1': '13-355'},,,2.0,"{'1': '252-258', '2': '1-359'}",,,,
Q9LRS0,,,1.0,{'1': '1-366'},,,1.0,{'1': '13-355'},,,2.0,"{'1': '252-258', '2': '1-359'}",,,,
